Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,Size
702,0.16442403167176625,21.85364146585237,-7.000022891,-9.842833757,3.647543089924104,-0.49140687,
703,5.783440137150129,4.520951120015917,-6.710123148,-13.74697432,3.896199386975308,-0.917776678,
704,2.3710059610835654,-31.82955162,-3.669796912,-20.79690164,7.476740820712321,-1.185263827,
705,-4.445087403,-45.71411514,-1.512869494,-23.0799525,9.954408734408256,-1.035819154,
701,4.746087004,48.56760114806241,-9.118804819,-4.82906937,0.6001311142522541,-0.284471588,
774,-5.120575466,-38.22708512,-2.577527155,-21.50711159,9.492343878478977,-1.065101934,
700,5.186812868696147,65.84858700828337,-9.698029473,-1.407122819,-0.86211448,0.036486012925840416,
A,2.0211090713508133,66.76210023949248,-10.66051016,-0.948980885,-0.301949971,-0.124075799,
B,2.4480237716835904,47.45749286196982,-8.81296726,-4.876409194,1.1506633130299884,-0.231769291,
C,2.1396728000123795,22.72499268162932,-7.241887154,-9.819196666,3.1809855772708198,-0.534351376,
D,4.158171642969628,-2.504801952,-6.412777917,-15.02539548,4.781255861690935,-1.024969918,
906,2.590334214448192,-53.18035334,6.285032079,-14.15163744,8.933554369575047,-0.677406195,
A,-53.4031296,-139.5592194,36.68872065884828,-0.94326395,-0.29632496,-0.197245095,
C,-33.8690948,-82.31306462,17.485683432124077,-9.811720502,3.1798215703015495,-0.537324762,
D,-25.44724846,-49.17355733,5.183960399067154,-15.01676076,4.773161022343352,-0.931672844,
B,-45.34142303,-114.0761262,28.821203198684426,-4.869980845,1.1487374036872333,-0.255910473,
702,-30.74254036,-81.74853514,17.756721518800152,-9.855891846,3.648168164771815,-0.447590831,
704,-9.756978832,-11.92241781,-8.048368365,-20.79063172,7.489124359480365,-1.232583242,
907,-17.36575659,11.021488467697784,-14.8927675,-24.44511558,6.562392913875145,-1.385103238,
774,3.350945258108956,-6.530268162,-9.2326393,-21.50433473,9.496175933217787,-1.072516138,
700,-57.22801592,-136.1827392,37.807106017172885,-1.421533488,-0.860921716,0.063291741,
701,-48.9900071,-114.5536985,28.85415980129878,-4.831052249,0.599440297,-0.302960692,
703,-30.74754909,-57.41279985,8.317138658085359,-13.7474394,3.896291867771896,-0.851790201,
705,5.876655069978428,3.685421425379377,-11.9718713,-23.06840577,9.965242949313971,-1.042435052,
703,19.090347306104036,143.05952451707768,-3.553949298,-13.76137509,3.901649923906628,-0.898140013,
700,-10.613882,35.03066631835154,-8.311929652,-1.373936599,-0.85219227,0.026713961729790126,
701,-1.381856463,65.48680880364384,-7.548460088,-4.847517537,0.5920667626381592,-0.296252848,
702,20.27963641,109.7947463725042,-4.582664855,-9.840021593,3.654354583675512,-0.49434727,
704,43.299640708668406,204.86189276641284,0.6362626702204215,-20.79218411,7.464723671943762,-1.207554641,
907,33.19208528266349,234.30494956712485,4.384740441295678,-24.4085526,6.601679060192821,-1.291149644,
774,59.922645632930504,212.36428828761078,2.507583725700458,-21.51671353,9.503924214227546,-0.995407368,
A,-5.710260406,32.14073184298682,-9.768373606,-0.958323406,-0.300800911,-0.067226735,
B,3.2332277628082458,66.07168580339308,-7.004330687,-4.873810018,1.1404069376951165,-0.211195083,
C,16.26895322090216,109.2760696678177,-5.142526188,-9.814555875,3.178140454169767,-0.578317261,
D,25.34862517,154.73283383400047,-4.193538682,-15.04774104,4.780586900666706,-1.113537288,
904,17.490268397445714,16.212707941405736,-13.44676868,-14.55879358,2.2269648568702958,-0.910105869,
700,-96.23662863,46.11049593055766,-24.93428386,-1.382644133,-0.877996349,-0.163714897,
702,-24.08246801,5.349567433288778,-12.32540322,-9.860515127,3.656676763436471,-0.452748792,
704,69.82715604791659,-30.12212376,-2.265960699,-20.77146829,7.451405108091504,-1.209280794,
907,101.64373777275065,-23.842411,-1.038716189,-24.39959868,6.626169177339922,-1.363458664,
705,89.05523919493018,-51.49438097,4.760254316856616,-23.10254337,9.917226409994411,-1.073638007,
774,75.44000245,-47.83799361,2.3286820748091284,-21.51072533,9.517130799376655,-1.101574344,
703,9.972923279977204,1.9680843142479827,-11.49754433,-13.75901333,3.907467351960358,-0.864163175,
701,-66.6893822,32.760687828161245,-20.07456923,-4.843109852,0.5951884484946574,-0.252776715,
A,-100.3136368,41.237365710877114,-23.32301523,-0.95024505,-0.279011207,-0.022356719,
B,-66.71408853,28.11382291467116,-19.17909251,-4.862290814,1.1377361644218595,-0.239989333,
C,-24.20910453,9.343789107573835,-13.83003524,-9.817285374,3.177293611805195,-0.544453082,
D,20.881187470818798,-5.717338592,-9.281379726,-15.04812882,4.771130430865873,-0.90192555,
A,-13.89796927,-29.9256516,-15.58920095,-0.952237553,-0.293214605,-0.119229555,
B,-15.20950222,-2.165117244,-11.00176145,-4.885079662,1.15493324,-0.125666253,
C,-15.64987089,33.58782199655647,-8.142469525,-9.803271349,3.178250317092675,-0.574046742,
D,-19.49033739,69.97337342296463,-4.832662458,-15.01440194,4.7743792083208865,-0.991157249,
702,-12.82188826,34.99858072,-7.209499295,-9.852949366,3.6512838828048393,-0.455103734,
700,-18.59982677,-28.75065881,-15.40697676,-1.38701568,-0.868414912,-0.147911625,
701,-18.63149654,-3.725314962,-11.84667389,-4.851743249,0.5922446260557142,-0.231482994,
703,-21.51928856,59.87140275785387,-5.303517608,-13.75752113,3.9091445110210716,-0.827381011,
907,-33.21225413,132.5844118,3.4925655014396733,-24.45724205,6.557624448,-1.363939052,
704,-17.91719353,112.48053799344011,0.6223864330329933,-20.79088929,7.475768266399641,-1.210669498,
705,-8.51347819,132.61131434984068,4.4889407735568865,-23.05743891,9.946545022939508,-1.076723115,
774,-7.057335806,121.98344420470254,2.720787452490174,-21.49634066,9.522765801,-1.070529998,
A,-0.774662984,7.9704795224202805,-7.893621462,-0.966140118,-0.282091959,-0.036342908,
