Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,Size
714,5.132113885,75.95355235,-33.28536597,-7.129501074,-12.98600884,2.960906775,
187,47.29153825,87.07137291,-37.76896303,-10.64775124,-12.3703373,2.33718588,
185,15.92219913,-26.74686436,-11.51160251,-3.91281823,-5.051112331,1.256080895,
713,7.974669054,23.08502576,-22.24717326,-5.275606931,-9.003994352,2.111035645,
712,-4.079237876,-58.7664948,-5.912386013,-1.203674048,-3.45274604,0.984696826,
unk3,-7.870951679,197.6528778,-68.09990685,-10.9380039,-22.70635741,4.306334446,
716,-0.646204238,163.3228329,-56.66900348,-10.12139595,-19.78195453,3.994712355,
C,24.20424946,71.22952907,-34.34778688,-8.342238926,-12.02839423,2.449269678,
D,8.944104341,128.5687139,-46.82848975,-9.463511692,-16.79963263,3.514913989,
A,-14.24741175,-94.9367142,0.735991375,0.94881365,-1.192190233,0.516531995,
B,4.005232423,-42.88770301,-7.955330876,-2.412047007,-4.285696187,1.201925911,
A,-17.3650289,33.62836965,-5.477146161,0.968009465,-1.20593496,0.516940538,
B,-1.544957087,71.20812232,2.159204415,-2.447288322,-4.322675923,1.177296065,
C,17.43894764,154.9847564,16.05077353,-8.361718926,-12.02456232,2.476154764,
D,8.39495943,197.6577301,24.21423341,-9.469347353,-16.7956566,3.46385405,
185,7.622335121,82.06243137,3.882456078,-3.899592645,-5.015376496,1.263793935,
909,-15.99817381,81.26808166,7.944225406,-1.486297093,-5.993571677,1.977215348,
910,-9.368946072,97.49284365,8.734531879,-2.91463484,-7.358078345,1.983621538,
915,2.681286398,115.3828202,11.35300996,-4.992811493,-8.639960398,2.134722098,
714,3.54050539,158.2108002,19.06182675,-7.116864755,-12.97777061,2.963301815,
187,34.80580128,165.9383088,17.05660035,-10.65077864,-12.35684568,2.392712493,
715,8.32202717,187.3914948,21.85506253,-8.968589759,-15.75177187,3.206488611,
917,31.7282389,70.89089936,-0.643508556,-5.810984494,-2.785629324,0.500290221,
910,40.19844824,11.14105973,-12.63933373,-2.934911376,-7.372757446,2.008753299,
185,36.07179267,-1.550917429,-10.36566955,-3.865022043,-5.059749642,1.246177865,
917,35.95812603,-17.38882448,-7.464021705,-5.784159324,-2.754736377,0.459909637,
918,110.7330581,42.51312708,-27.35463489,-9.443696333,-20.86163598,4.177065923,
714,75.61572115,19.5699209,-17.42099355,-7.134348796,-12.98261365,2.953232076,
909,29.96667848,10.76518437,-11.22190961,-1.481698806,-6.016280431,1.908771758,
715,91.91790771,24.07361985,-20.67550279,-8.96441444,-15.73186843,3.257232413,
713,54.80931473,9.68012331,-13.90758708,-5.265347996,-8.988847285,2.119849676,
915,52.78681566,9.463269252,-12.75064949,-5.019617703,-8.63052501,2.239372113,
716,110.0835418,36.28102112,-25.58002852,-10.1259178,-19.83243302,3.958013021,
unk3,122.6706803,44.56340686,-29.50884759,-10.93633946,-22.69426717,4.338078811,
A,3.803241193,-1.500909874,-9.02427625,0.95131585,-1.197866239,0.49262133,
D,97.42569933,26.79301631,-21.59782001,-9.447517352,-16.8016046,3.487381408,
B,27.99027251,0.178990595,-9.93941215,-2.460308487,-4.307950947,1.211996177,
C,77.10196687,11.19911771,-16.64613147,-8.35951763,-12.00650982,2.454505365,
185,2.870503246,1.738150494,-6.069901364,-3.899087252,-5.052094735,1.211450198,
915,-3.599260526,16.62144515,-6.166427855,-5.017144364,-8.634233644,2.22598629,
909,-7.928770062,-1.278088709,-4.565158914,-1.459823983,-6.019776018,1.887192858,
714,-8.712773317,36.22032928,-8.392849955,-7.108997608,-12.98794915,2.92746708,
713,-3.665565468,18.29486272,-7.128544812,-5.262213198,-9.002991854,2.091878503,
917,15.36286356,-0.906182481,-6.153198203,-5.775007263,-2.74266218,0.502430192,
715,-10.12431145,49.9934845,-10.36832434,-8.977484117,-15.75200485,3.228700734,
918,-22.55703736,67.68612669,-12.57573702,-9.435818323,-20.85307166,4.165005218,
716,-17.54612734,66.27698992,-12.151888,-10.1351524,-19.83471758,3.968213927,
unk3,-22.71602595,77.66709267,-13.78832038,-10.94822997,-22.71345047,4.395131594,
A,-2.062762302,-23.5371094,-4.225102016,0.908873337,-1.213498461,0.584725842,
C,-1.956622425,36.10868069,-9.085540784,-8.326361942,-12.0143438,2.461403859,
B,0.221905558,-4.565198431,-5.396084881,-2.440969333,-4.290468492,1.167523445,
D,-11.37641144,54.65568546,-10.45183185,-9.469303167,-16.76298823,3.499727103,
712,-12.53127096,-26.40546417,-9.312035456,-1.139114736,-3.407638709,1.035962287,
185,-16.14303208,-5.363557846,-9.329384851,-3.912553623,-5.057909747,1.264510438,
715,-70.81233975,51.78722387,-12.68892657,-8.980290106,-15.75319277,3.222258701,
714,-58.39733507,33.61371991,-10.8453351,-7.108473114,-12.99564217,2.914528714,
915,-36.40167241,10.17300985,-8.681197095,-5.01556636,-8.636014878,2.243634004,
713,-37.68729019,12.58178808,-10.22617913,-5.268620369,-9.003716422,2.079986971,
909,-28.71013644,-18.14769939,-8.241242492,-1.440590783,-6.014729562,1.88196995,
918,-101.5291977,67.05583192,-15.0090227,-9.446287514,-20.85112613,4.191485726,
716,-93.45967865,68.81336211,-14.50576406,-10.1366731,-19.83400052,3.944525528,
917,3.173964983,0.485672485,-9.412937186,-5.782525707,-2.764125362,0.491901545,
A,-3.465165034,-44.32303577,-9.792542526,0.903802716,-1.209473183,0.525955492,
B,-14.89142051,-16.20034003,-9.163161424,-2.453028063,-4.284347955,1.194455349,
C,-48.92800182,38.70470808,-11.63184455,-8.330590866,-12.02302014,2.435906281,
